,name,phone_number,email,contacts,address
0,Frayah Press,19191911034,18307110000@sjtu.edu.cn,Sime Harjeet,"63 Sarah-Ra Lane, Sao Paulo"
1,Becker's,13718483101,18307110001@sjtu.edu.cn,Dayangku Hephzibah,"727 Radyn Lane, Seoul"
2,Rex Books,18949654213,18307110002@sjtu.edu.cn,Halee Briley,"672 Ethan-Ja Street, Shanghai"
3,Lilly-Anna's,13745501224,18307110003@sjtu.edu.cn,Phatoumata Liviya,"851 Allana Lane, Delhi"
4,Imari Press,18696579851,18307110004@sjtu.edu.cn,Pranavi Argyll-Sutherland,"375 Lailand Avenue, London"
5,Sierra Press,13733548837,18307110005@sjtu.edu.cn,Kailym Codin,"44 Chelsy Road, Bangkok"
6,Gulliver Press,18956854130,18307110006@sjtu.edu.cn,Robbie Kiira,"559 Mara-Jad Avenue, Paris"
7,Zeta Books,18683366890,18307110007@sjtu.edu.cn,Sehyun James-Michael,"421 Brando Avenue, Paris"
8,Rayna-Nicole Press,18918940850,18307110008@sjtu.edu.cn,Blayke Arez,"146 Torcall Lane, Los Angeles"
9,Gianna-Leigh's,18998240272,18307110009@sjtu.edu.cn,Molly-Grace Raihan,"531 Teighlor Road, Delhi"
10,Kahil Press,19153039071,18307110010@sjtu.edu.cn,Jawaad Lillemor,"532 Adeya Avenue, Bangkok"
11,Makenna Books,18917124344,18307110011@sjtu.edu.cn,Diamond Ugochukwu,"953 Amira-Ro Road, Sao Paulo"
12,Raya Press,18620851718,18307110012@sjtu.edu.cn,Fin Shreedhanya,"75 Crusoe Lane, Los Angeles"
13,Jaza Books,18926581348,18307110013@sjtu.edu.cn,Lilly-Ann Aalliyah,"12 Dash Street, Madrid"
14,Annabella House,15892840977,18307110014@sjtu.edu.cn,Dalva Noal,"142 Nakai Avenue, Buenos Aires"
15,Ellis-Ann's,18669510565,18307110015@sjtu.edu.cn,Aryiah-Rose Kadian,"603 Agota Street, Manila"
16,Angel-Chidinma House,18669167331,18307110016@sjtu.edu.cn,Darryn Ivy-Jane,"19 Yodahe Street, Paris"
17,Filipe House,15889957323,18307110017@sjtu.edu.cn,Jharana Juri,"766 Sadie-Ma Avenue, Paris"
18,Karolina Press,15836395056,18307110018@sjtu.edu.cn,Shadrach Hillary,"434 Ahmeed Avenue, Madrid"
19,Sharif Books,15823162268,18307110019@sjtu.edu.cn,Lexi-Katy Maggie-May,"596 Aruna Avenue, Manila"
20,Auria Press,18923250302,18307110020@sjtu.edu.cn,Johnathan Severine,"271 Aashutos Avenue, Paris"
21,Khya House,13716660418,18307110021@sjtu.edu.cn,Awaiz Gerven,"101 Loki Lane, London"
22,Nawar's,18969660592,18307110022@sjtu.edu.cn,Madeline Eeligh,"642 Baban Road, Los Angeles"
23,Keilah Press,13756207676,18307110023@sjtu.edu.cn,Oluwafolayinka Corla,"328 Keaivhan Street, London"
24,Mharlie Books,19193985530,18307110024@sjtu.edu.cn,Dhana India-Rachel,"856 Amirul Road, London"
25,Raaed Books,19154692213,18307110025@sjtu.edu.cn,Deryn Eian,"365 John-Wal Street, Shanghai"
26,Ellarie House,13724660314,18307110026@sjtu.edu.cn,Capri Tiffani,"532 Abdoul Street, Manila"
27,Szofia Books,15880666251,18307110027@sjtu.edu.cn,Alixander Lira,"393 Lucianah Avenue, Paris"
28,Fynley Press,18629612264,18307110028@sjtu.edu.cn,Denislav Syrah,"673 Arjan Lane, Sao Paulo"
29,Anyah's,18936955682,18307110029@sjtu.edu.cn,Saran Kentley,"837 Josh-Jad Avenue, Los Angeles"
30,Kobi-Alan's,13792254092,18307110030@sjtu.edu.cn,Haley Emily-Eve,"966 Desha Avenue, London"
31,Wiam Press,19152415923,18307110031@sjtu.edu.cn,Ellsa Kobimtochukwu,"70 Akoowo Road, Buenos Aires"
32,Haaziq House,13730019700,18307110032@sjtu.edu.cn,Megann Romani-May,"922 Joshan Lane, Los Angeles"
33,Sabreena Books,19166531058,18307110033@sjtu.edu.cn,Grey Rumla,"731 Mingxi Road, Tokyo"
