,name,sex,phone,email,address,vip
0,Chrissie-Ann Ayliah-Grace,Male,19120928239,18307110000@fudan.edu.cn,"959 Cayha Lane, Paris",1
1,Deepak Anders,Female,18683489401,18307110001@fudan.edu.cn,"493 Rhys-A Avenue, London",1
2,Aaron-Matthew Afnan,Male,13753548032,18307110002@fudan.edu.cn,"987 Aqeeb Road, Delhi",1
3,Shaniqua Trystin,Female,18650710909,18307110003@fudan.edu.cn,"721 Robert Road, Manila",1
4,Arshmaan Sali,Female,15882141867,18307110004@fudan.edu.cn,"193 Raie Road, Manila",0
5,Aala Kevir,Male,13740774819,18307110005@fudan.edu.cn,"667 Patien Avenue, Tokyo",1
6,Halley Jamelia,Female,18923808194,18307110006@fudan.edu.cn,"551 Luckxu Street, Delhi",1
7,Calumn Shamma,Male,18636748793,18307110007@fudan.edu.cn,"182 Jossly Avenue, Delhi",0
8,Primrose Thea-Jessica,Male,19118884686,18307110008@fudan.edu.cn,"577 Alaeya Road, Seoul",1
9,Chaya Luis,Female,15830793368,18307110009@fudan.edu.cn,"617 Joyee Lane, Hong Kong",0
10,Shaban Laccie,Male,18633563471,18307110010@fudan.edu.cn,"35 Haziim Lane, Hong Kong",0
11,Musayb Hela,None,19169421667,18307110011@fudan.edu.cn,"105 Thalei Lane, Buenos Aires",0
12,Mack Elikem,Male,18972413531,18307110012@fudan.edu.cn,"592 Loxa Lane, Paris",0
13,Hend Aysel,None,13752162554,18307110013@fudan.edu.cn,"241 Calina Lane, Tokyo",0
14,Sharifa Abdul-Muiz,Female,18644664560,18307110014@fudan.edu.cn,"507 Nuha Lane, Guangzhou",1
15,Saksham Treyson,Female,18635785742,18307110015@fudan.edu.cn,"481 Yanina Avenue, Tokyo",0
16,Yoel Maggie-Lynne,Male,19143828031,18307110016@fudan.edu.cn,"475 Rubina Street, Bangkok",0
17,Dune Sarah-Michelle,Male,13766694880,18307110017@fudan.edu.cn,"302 Diamon Lane, Delhi",1
18,Leland Deane,Male,13735078681,18307110018@fudan.edu.cn,"934 Livin Road, Manila",0
19,Aiesrom Kialen,Female,13735599945,18307110019@fudan.edu.cn,"64 Coira Lane, Bangkok",0
20,Boleslav Ida,Female,13740538245,18307110020@fudan.edu.cn,"996 Safa Avenue, Buenos Aires",1
21,Jiyaan Thistle-Grace,Male,18685162006,18307110021@fudan.edu.cn,"31 Preet Road, Tokyo",1
22,Yiting Quian,Female,18948401416,18307110022@fudan.edu.cn,"620 Blain Avenue, Beijing",1
23,Rudie Mansoor,Female,15899581032,18307110023@fudan.edu.cn,"4 Chiarr Avenue, Shanghai",0
24,Norina Cici,Female,15822634240,18307110024@fudan.edu.cn,"314 Blake- Avenue, Shanghai",0
25,Lottie-Quinne Liyle,Female,15863917220,18307110025@fudan.edu.cn,"70 Connel Avenue, Madrid",1
26,Lyiara Oluwaseun,Male,18674448679,18307110026@fudan.edu.cn,"816 Rusand Road, Sao Paulo",0
27,Scott-Deon Malk,Male,18974884567,18307110027@fudan.edu.cn,"15 Gerard Road, Beijing",1
28,Dilwar Tanyaradzwa,Female,13763052029,18307110028@fudan.edu.cn,"927 Brayda Lane, Madrid",1
29,Georgia-May Carmynn,Male,19150862676,18307110029@fudan.edu.cn,"740 Sushmi Road, Los Angeles",1
30,Wanda Wenyuan,Female,13769587970,18307110030@fudan.edu.cn,"296 Khalon Road, Bangkok",0
31,Zawaad Lazaro,Male,18985917611,18307110031@fudan.edu.cn,"453 Shelle Avenue, Beijing",1
32,Lutton Chance,Female,13747566037,18307110032@fudan.edu.cn,"191 Oakley Avenue, Tokyo",1
33,Asyia Tiyler-James,Male,13745698930,18307110033@fudan.edu.cn,"820 Mylea Street, Tokyo",0
34,Vaishali Lilah-Rose,Female,15828361353,18307110034@fudan.edu.cn,"98 Liahna Road, Los Angeles",1
35,Ivan Caledonia,Male,15855102679,18307110035@fudan.edu.cn,"572 Daemon Street, London",1
36,Patricija Rilay,Male,13746658388,18307110036@fudan.edu.cn,"948 Fida Road, London",0
37,Rhyder Arlon,Female,15827099932,18307110037@fudan.edu.cn,"233 Arulaa Avenue, Manila",0
38,Karlianne Darta,Female,19171901219,18307110038@fudan.edu.cn,"3 Charli Avenue, Beijing",0
39,Achintya Shanisha,Female,19115237001,18307110039@fudan.edu.cn,"520 Jon-Jo Street, Guangzhou",0
40,Cohryn Indie-Elise,Male,19138763796,18307110040@fudan.edu.cn,"467 Chinem Lane, Buenos Aires",1
41,Aleksy Miki,Male,19154249234,18307110041@fudan.edu.cn,"81 Fareen Avenue, Paris",0
42,Tern Jnr,Female,15811640645,18307110042@fudan.edu.cn,"15 Tanish Lane, Tokyo",1
43,Rumer Kendall,Female,18680253338,18307110043@fudan.edu.cn,"248 Aubrie Road, Beijing",1
