,name,phone_number,email,contacts,address
0,Arissa Enterprise,15898272842,18307110000@sjtu.edu.cn,Marrissa Rinalds,"Tiarao Avenue, Seoul"
1,Kentley Enterprise,13734063800,18307110001@sjtu.edu.cn,Anshveer Mignon,"Maci-L Avenue, Madrid"
2,Rheana Enterprise,13738173721,18307110002@sjtu.edu.cn,Kemro Beugh,"Karric Avenue, Tokyo"
3,Fazil Enterprise,13754911306,18307110003@sjtu.edu.cn,Valerija Evangelina,"Aouab Lane, Beijing"
4,Aurel Enterprise,15877514415,18307110004@sjtu.edu.cn,Kholbie Daiva,"Macsen Street, Delhi"
5,Emmaleigh Enterprise,18664722851,18307110005@sjtu.edu.cn,Kydd Sebastyn,"Zumar Lane, Hong Kong"
6,Jeremiasz Enterprise,18685461030,18307110006@sjtu.edu.cn,Ryan-Rhema Braeden,"Bertra Street, Hong Kong"
7,C'eryn Enterprise,18684520908,18307110007@sjtu.edu.cn,Macoumba Moyrin,"Nathan Avenue, Los Angeles"
8,Kohl Enterprise,18991506668,18307110008@sjtu.edu.cn,Eoghainn Daniil,"Emele Avenue, Madrid"
9,Anarkali Enterprise,18679184964,18307110009@sjtu.edu.cn,Adarsh Idara-Abasi,"Aabia Street, Guangzhou"
10,Emmaleigh Enterprise,18627094263,18307110010@sjtu.edu.cn,Faron Edith-Marie,"Esme-B Lane, Guangzhou"
11,Maizey Enterprise,19127349180,18307110011@sjtu.edu.cn,Aillee Prabhpreet,"Nordin Lane, Los Angeles"
12,Mittra Enterprise,18668818360,18307110012@sjtu.edu.cn,Lolah Farhan,"Tyem Avenue, Delhi"
13,Jase Enterprise,15888275286,18307110013@sjtu.edu.cn,Agustina Aragon,"Lysand Road, Hong Kong"
14,Maitland Enterprise,15884050477,18307110014@sjtu.edu.cn,Alfie-Dee Layo,"Momola Road, Shanghai"
15,Mowenna-Grace Enterprise,19118296645,18307110015@sjtu.edu.cn,Malyka James-John,"Brende Street, Bangkok"
16,Anmoal Enterprise,19111878150,18307110016@sjtu.edu.cn,Iona Mehmet-Emir,"Khalee Street, Bangkok"
17,Feodor Enterprise,18975846096,18307110017@sjtu.edu.cn,Allysa Aria-Blu,"Harley Lane, Beijing"
