,username,name,sex,phone,email,address,vip
0,OnyedikachukwunS,Onyedikachukwu Obafifehanmi,Male,18685864628,18307110000@fudan.edu.cn,"Joseia Avenue, Hong Kong",0
1,Aurimasgt,Aurimas Connah,Female,19193527044,18307110001@fudan.edu.cn,"Abe Lane, Delhi",0
2,Shaun0i,Shaun Robart,Male,18927800503,18307110002@fudan.edu.cn,"Emily- Road, Shanghai",0
3,Karianaef,Kariana Maximino,Male,15853379982,18307110003@fudan.edu.cn,"Kendra Road, Buenos Aires",1
4,Aianna9s,Aianna Eden-Rose,Female,19176524845,18307110004@fudan.edu.cn,"Imisio Street, Buenos Aires",1
5,Loganjackf8,Loganjack Casey-Jacob,Female,13711357190,18307110005@fudan.edu.cn,"Annabe Avenue, Seoul",0
6,Cody-Jai2x,Cody-Jai Rohanna,Female,13755039240,18307110006@fudan.edu.cn,"Crixus Lane, London",0
7,Kaylynnzk,Kaylynn Saona,Male,18633503059,18307110007@fudan.edu.cn,"Brieac Lane, Manila",0
8,MykailaPJ,Mykaila Jenosh,Female,13774412580,18307110008@fudan.edu.cn,"Zeppel Road, Delhi",0
9,Eoghainn8R,Eoghainn Anwaarah,Male,19181781379,18307110009@fudan.edu.cn,"Brooxi Lane, Tokyo",0
10,SumaOa,Suma Meva,Female,15867051367,18307110010@fudan.edu.cn,"Jaelah Lane, Paris",0
11,HurainCB,Hurain Amrjai,Female,13779071003,18307110011@fudan.edu.cn,"Nian Avenue, Seoul",1
12,Rheavalr,Rheava Deron,Male,18617350175,18307110012@fudan.edu.cn,"Erick Street, Guangzhou",1
13,Niylahzq,Niylah Ayeisha,Male,19152747526,18307110013@fudan.edu.cn,"Kirah Street, Shanghai",0
14,Sophie-LeaBX,Sophie-Lea Parker-James,Male,13759604610,18307110014@fudan.edu.cn,"Lucili Lane, Shanghai",0
15,Chloe-JadeQ1,Chloe-Jade Keisha-Marie,Male,19169793702,18307110015@fudan.edu.cn,"Agne Street, Buenos Aires",0
16,AleckTS,Aleck Alanis,Male,18649397631,18307110016@fudan.edu.cn,"Hanaa Avenue, London",0
17,MyiaeX,Myia Aayden,Female,19119026562,18307110017@fudan.edu.cn,"Matthi Road, Los Angeles",1
